pKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD
c7071fd1-b00d-47f8-99cf-a934cb7e2b18,8/8/2012 12:00:00 AM,8/8/2012 12:00:00 AM,25091219110000,25,91,"TAQA North USA, Inc.",Hellegaard 9-12H #2,48.8702913,-104.0519017,WGS84,7798.0,440277.0,,Montana,Sheridan,1,False,False,,
b9cc00d5-9b18-4d54-ac74-4e0c9589f841,8/9/2012 12:00:00 AM,8/9/2012 12:00:00 AM,25083229580000,25,83,Whiting Petroleum,Iverson Bros 14-33H,47.95555,-104.241,NAD83,,,,Montana,Richland County,1,False,False,,
4b8d5db0-c069-49e6-af52-df0e2e951a36,8/9/2012 12:00:00 AM,8/9/2012 12:00:00 AM,25083229800000,25,83,Whiting Petroleum,Palmer 24-21-1H,47.984,-104.3664,NAD83,,,,Montana,Richland,1,False,False,,
13e6ca4d-fa38-4e16-a7ec-f5aa2ac91b33,8/11/2012 12:00:00 AM,8/11/2012 12:00:00 AM,25091219100000,25,91,Marathon Oil,Dave Clark 21-13H,48.448167,-104.123436,NAD27,,,,Montana,Sheridan,1,False,False,,
7b943b88-37ab-45eb-baa9-4dd849f0fec4,8/15/2012 12:00:00 AM,8/15/2012 12:00:00 AM,25083218750000,25,83,Abraxas Petroleum Corporation,Bellezza 1-24,47.73844,-104.8684,NAD27,,,,Montana,Richland,1,False,False,,
5a851ca7-4320-4ff4-8fd0-d4d4cdf6586c,8/15/2012 12:00:00 AM,8/15/2012 12:00:00 AM,25083229740000,25,83,Fidelity Exploration & Production,Linda 25-36H,47.645345223468,-104.351843761612,NAD83,,,,Montana,Richland,1,False,False,,
2e07f25e-0ab0-475b-b21c-56077f9fc219,8/20/2012 12:00:00 AM,8/20/2012 12:00:00 AM,25083229420000,25,83,"Slawson Exploration Company, Inc.",Canucks 2-13H,47.570952,-104.100865,NAD83,,,,MT,Richland,1,False,False,,
8bab9b71-1371-44c1-b7ee-bdb149990f08,8/21/2012 12:00:00 AM,8/21/2012 12:00:00 AM,25085218640000,25,85,"VAALCO ENERGY (USA), INC.",EPU 133H,48.199353,-105.115209,WGS84,,,,Montana,Roosevelt,1,False,False,,
656dfe6c-ec45-4b70-bb6b-b614a377471d,8/21/2012 12:00:00 AM,8/21/2012 12:00:00 AM,25091219090000,25,91,Marathon Oil,Orville Hendrickson 24-12H,48.448167,-104.123642,NAD27,,,,Montana,Sheridan County,1,False,False,,
b5c404e0-5d21-44bc-9ddf-9f940e521cae,8/22/2012 12:00:00 AM,8/22/2012 12:00:00 AM,25087217360000,25,87,Fidelity Exploration & Production,Grebe 31-33H Bid,46.6693,-107.576491,NAD83,,,,MT,Rosebud,1,False,False,,
25241657-1050-4aa3-94da-f4e20130ed39,8/23/2012 12:00:00 AM,8/23/2012 12:00:00 AM,25083230120000,25,83,"Slawson Exploration Company, Inc.",Weasel 1-36H,47.717155,-104.867335,NAD83,,,,Montana,Richland,1,False,False,,
af2069a5-3683-416e-a7b0-588864a905c7,8/24/2012 12:00:00 AM,8/24/2012 12:00:00 AM,25091219140000,25,91,Whiting Petroleum,Gronlie Farms 31-25TFH,48.43,-104.56,NAD83,,,,Montana,Sheridan,1,False,False,,
1f7c92f0-33e2-4ec4-b885-8020d1f18b30,8/25/2012 12:00:00 AM,8/25/2012 12:00:00 AM,25083225920000,25,83,"Continental Resources, Inc",Mott 1-16H,47.9987362697,-104.74913289,NAD83,,,,Montana,Richland,1,False,False,,
5f7803dc-a3d1-4dd3-a0b8-058c4abf098d,8/25/2012 12:00:00 AM,8/25/2012 12:00:00 AM,25083228900000,25,83,Whiting Petroleum,Prewitt 26-35-1TFH,47.818061,-104.235006,NAD83,10446.0,54118.0,,North Dakota,Richland County,1,False,False,,
80c593c8-1495-4060-a78f-5e44eb7aff63,8/25/2012 12:00:00 AM,8/25/2012 12:00:00 AM,25083229520000,25,83,"Continental Resources, Inc",Mott 1-16H,47.9987362697,-104.74913289,NAD83,,,,Montana,Richland,1,False,False,,
24960bdc-6c36-49ef-ae5f-493f6702a9e3,8/26/2012 12:00:00 AM,8/26/2012 12:00:00 AM,25083229790000,25,83,"Continental Resources, Inc",Belleeza 1-12H,47.77521027,-104.863005732,NAD83,,,,Montana,Richland,1,False,False,,
8c1eeb87-a33d-4fbf-9310-9b3a22c6fa3a,8/26/2012 12:00:00 AM,8/26/2012 12:00:00 AM,25091219200000,25,91,Southwestern Energy,Bedwell 33-52 1-1H,48.6477195119,-104.8495502521,NAD83,8281.0,803397.0,,Montana,Sheridan County,1,False,False,,
6cd272e4-cdf0-4ac8-b742-42ed5c39bcdb,8/27/2012 12:00:00 AM,8/27/2012 12:00:00 AM,25085218220000,25,85,XTO Energy/ExxonMobil,Smith 13X-2B,48.119681,-104.329981,NAD83,,,,Montana,Roosevelt,1,False,False,,
623e36e7-aa12-43a3-bda8-5433b45ad579,8/29/2012 12:00:00 AM,8/29/2012 12:00:00 AM,25083229910000,25,83,"Continental Resources, Inc",Candee 3-18H,47.8477179,-104.95874604,NAD83,,,,Montana,Richland,1,False,False,,
c656ce79-2305-4235-b342-1ef10a86827e,8/30/2012 12:00:00 AM,8/30/2012 12:00:00 AM,25083228840000,25,83,Whiting Petroleum,Lone Butte Patricia 24-25-1H,47.90961,-104.4204,NAD27,,,,Montana,Richland,1,False,False,,
52a90b24-9df0-4b5d-b482-1cdf5a1182ed,9/2/2012 12:00:00 AM,9/2/2012 12:00:00 AM,25083230080000,25,83,"Continental Resources, Inc",Dorothy Melvin 4 HSU,47.804117,-104.656425,NAD83,,,,Montana,Richland,1,False,False,,
289d4f29-19d5-4e97-929c-030a229dc4bc,9/2/2012 12:00:00 AM,9/2/2012 12:00:00 AM,25085218000000,25,85,Oasis Petroleum,Grindland 31-30H,48.127908,-104.272878,NAD83,,,,MT,Roosevelt,1,False,False,,
b7e18ef8-430a-4e6b-a2db-1b4818fc915e,9/3/2012 12:00:00 AM,9/3/2012 12:00:00 AM,25083230130000,25,83,Whiting Petroleum,Watts 42-21-1HR,47.83,-104.145,NAD83,,,,Montana,Richland,1,False,False,,
a38de827-4796-427b-a81b-07be6726baa2,9/4/2012 12:00:00 AM,9/4/2012 12:00:00 AM,25085218740000,25,85,Oasis Petroleum,Fannie Federal,48.073517,-104.148711,NAD27,10283.0,2893800.0,,Montana,Roosevelt,1,False,False,,
